County_Name,Region,County,region_county_code,Region-County-District-Type-School (RCDTS) ,District,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,region_county_code
Winnebago,04,101,04101,041013200261002,County of Winnebago SD 320,South Beloit Jr High School,151,0,0,0,1,151,0,0,0,0,0,151,0,1,04101
Winnebago,04,101,04101,041013200262005,County of Winnebago SD 320,Blackhawk Elementary School,163,0,1,1,0.9938650306748467,73,0,1,9,0,0,73,10,0.8795180722891566,04101
Winnebago,04,101,04101,041013210260001,Pecatonica CUSD 321,Pecatonica High School,278,0,0,0,1,277,1,0,0,0,0,277,1,0.9964028776978417,04101
Winnebago,04,101,04101,041013210261001,Pecatonica CUSD 321,Pecatonica Comm Middle School,268,0,0,0,1,202,0,2,0,0,0,202,2,0.9901960784313726,04101
Winnebago,04,101,04101,041013220260001,Durand CUSD 322,Durand High School,200,0,0,0,1,197,2,0,1,0,0,197,3,0.985,04101
Winnebago,04,101,04101,041013220261001,Durand CUSD 322,Durand Jr High School,95,0,0,0,1,93,2,0,0,0,0,93,2,0.9789473684210527,04101
Winnebago,04,101,04101,041013220262001,Durand CUSD 322,Durand Elem School,307,1,0,0,0.9967426710097721,36,1,0,3,0,1,36,5,0.8780487804878049,04101
Winnebago,04,101,04101,041013230260001,Winnebago CUSD 323,Winnebago High School,474,0,0,0,1,469,3,1,1,0,0,469,5,0.989451476793249,04101
Winnebago,04,101,04101,041013230261002,Winnebago CUSD 323,Winnebago Middle School,338,0,1,0,0.9970414201183432,334,3,0,1,0,0,334,4,0.9881656804733728,04101
Cook_North,05,016,05016,05016008Z010000,Nonpublic School,North Shore Country Day School,535,0,1,0,0.9981308411214954,341,0,0,1,0,0,341,1,0.9970760233918129,05016
Cook_North,05,016,05016,050160150041011,Palatine CCSD 15,Plum Grove Jr High School,778,2,0,2,0.9974293059125964,769,7,0,0,0,2,769,9,0.9884318766066839,05016
Cook_North,05,016,05016,050160150041014,Palatine CCSD 15,Carl Sandburg Jr High School,545,1,1,2,0.9963302752293578,542,1,1,0,0,1,542,3,0.9944954128440368,05016
Cook_North,05,016,05016,050160150041016,Palatine CCSD 15,Winston Campus Jr High,775,2,0,2,0.9974193548387096,770,3,0,0,0,2,770,5,0.9935483870967742,05016
Cook_North,05,016,05016,050160150041018,Palatine CCSD 15,Walter R Sundling Jr High Sch,685,7,0,3,0.9897810218978103,666,10,2,0,0,7,666,19,0.9722627737226277,05016
Cook_North,05,016,05016,050160150042001,Palatine CCSD 15,Jane Addams Elem School,675,6,0,6,0.9911111111111112,96,0,0,0,0,0,96,0,1,05016
Cook_North,05,016,05016,050160150042003,Palatine CCSD 15,Central Road Elem School,611,3,0,2,0.9950900163666121,93,1,0,0,2,1,93,4,0.9587628865979382,05016
Cook_North,05,016,05016,050160150042004,Palatine CCSD 15,Marion Jordan Elem School,479,0,0,0,1,67,0,0,1,0,0,67,1,0.9852941176470589,05016
Cook_North,05,016,05016,050160150042005,Palatine CCSD 15,Kimball Hill Elem School,622,13,6,19,0.9694533762057879,83,0,0,0,0,4,83,4,0.9540229885057471,05016
Cook_North,05,016,05016,050160150042006,Palatine CCSD 15,Hunting Ridge Elem School,661,9,0,9,0.9863842662632375,103,0,0,0,0,3,103,3,0.9716981132075472,05016
Cook_North,05,016,05016,050160150042007,Palatine CCSD 15,Lake Louise Elem School,755,8,1,8,0.9880794701986756,111,1,0,0,0,5,111,6,0.9487179487179487,05016
Cook_North,05,016,05016,050160150042008,Palatine CCSD 15,Lincoln Elementary School,851,4,0,4,0.9952996474735605,106,0,0,0,0,2,106,2,0.9814814814814815,05016
Cook_North,05,016,05016,050160150042009,Palatine CCSD 15,Stuart R Paddock School,727,4,0,4,0.9944979367262724,103,1,0,0,0,4,103,5,0.9537037037037037,05016
Cook_North,05,016,05016,050160150042010,Palatine CCSD 15,Pleasant Hill Elem School,635,7,1,0,0.9874015748031496,96,2,0,0,0,0,96,2,0.9795918367346939,05016
