County_Name,Region,County,region_county_code,R-C-D-T-S,Facility,Enrollment,Total NC,UndupNCIM,NCPE,Excluded,PolioProtected,PolioNcNp,PolioMedObj,PolioRelObj,PolioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal,Unnamed: 55,Unnamed: 56,Region,County
Pike,01,075,01075,01-075-0100-26-3001,ROE East Alternative School,8,0,0,0,0,8,0,0,0,0,8,8,0,0,0,0,8,8,0,0,0,0,8,8,0,0,0,0,8,8,0,0,0,0,8,8,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,5,,,01,075
Pike,01,075,01075,01-075-0120-26-0001,Western High School,182,2,2,0,0,181,1,0,0,0,182,178,2,0,0,2,182,181,1,0,0,0,182,181,1,0,0,0,182,181,1,0,0,0,182,182,0,0,0,0,182,0,0,0,0,0,0,51,0,0,0,0,51,,,01,075
Pike,01,075,01075,01-075-0120-26-1001,Western Jr High School,225,3,1,2,0,224,0,0,0,1,225,223,0,0,0,2,225,224,0,0,0,1,225,224,0,0,0,1,225,224,0,0,0,1,225,225,0,0,0,0,225,46,0,0,0,0,46,224,1,0,0,0,225,,,01,075
Pike,01,075,01075,01-075-0120-26-2001,Western Barry Elem,254,2,0,2,0,253,0,0,0,1,254,252,0,0,0,2,254,253,0,0,0,1,254,253,0,0,0,1,254,253,0,0,0,1,254,37,0,0,0,0,37,37,0,0,0,0,37,254,0,0,0,0,254,,,01,075
Alexander,02,002,02002,02-002-0010-22-0001,Cairo Jr/Sr High School,180,10,8,2,0,178,2,0,0,0,180,175,0,0,0,5,180,178,2,0,0,0,180,178,2,0,0,0,180,178,2,0,0,0,180,180,0,0,0,0,180,0,0,0,0,0,0,82,1,0,0,0,83,,,02,002
Alexander,02,002,02002,02-002-0010-22-2004,Cairo Elementary School,342,20,18,2,0,326,2,0,0,14,342,327,1,0,0,14,342,328,3,0,0,11,342,341,1,0,0,0,342,340,2,0,0,0,342,138,0,0,0,0,138,59,10,0,0,0,69,341,1,0,0,0,342,,,02,002
Alexander,02,002,02002,02-002-0050-26-0001,Egyptian Sr High School,132,0,0,0,0,132,0,0,0,0,132,132,0,0,0,0,132,132,0,0,0,0,132,132,0,0,0,0,132,132,0,0,0,0,132,132,0,0,0,0,132,0,0,0,0,0,0,33,0,0,0,0,33,,,02,002
Alexander,02,002,02002,02-002-0050-26-1001,Egyptian Jr High School,108,2,2,0,0,105,1,0,2,0,108,104,2,0,2,0,108,105,1,0,2,0,108,105,1,0,2,0,108,105,1,0,2,0,108,105,1,0,2,0,108,0,0,0,0,0,0,105,1,0,2,0,108,,,02,002
Alexander,02,002,02002,02-002-0050-26-2002,Egyptian Elem School,286,4,2,2,3,283,2,0,1,0,286,283,2,0,1,0,286,283,2,0,1,0,286,283,2,0,1,0,286,283,2,0,1,0,286,98,0,0,1,0,99,58,0,0,0,0,58,285,0,0,1,0,286,,,02,002
Johnson,02,044,02044,02-044-0010-26-0001,Goreville High School,196,0,0,0,0,196,0,0,0,0,196,196,0,0,0,0,196,196,0,0,0,0,196,196,0,0,0,0,196,196,0,0,0,0,196,196,0,0,0,0,196,0,0,0,0,0,0,44,0,0,0,0,44,,,02,044
Johnson,02,044,02044,02-044-0010-26-2001,Goreville Elementary School,452,2,2,0,0,450,2,0,0,0,452,450,2,0,0,0,452,450,2,0,0,0,452,450,2,0,0,0,452,450,2,0,0,0,452,243,2,0,0,0,245,35,2,0,0,0,37,450,2,0,0,0,452,,,02,044
Johnson,02,044,02044,02-044-0320-03-2003,New Simpson Hill Dist 32,279,0,0,0,0,278,0,0,1,0,279,277,0,0,1,1,279,278,0,0,1,0,279,278,0,0,1,0,279,278,0,0,1,0,279,147,0,0,1,0,148,39,0,0,0,0,39,278,0,0,1,0,279,,,02,044
Johnson,02,044,02044,02-044-0430-03-2001,Buncombe Cons School,77,0,0,0,0,73,0,0,0,4,77,73,0,0,0,4,77,73,0,0,0,4,77,73,0,0,0,4,77,73,0,0,0,4,77,29,0,0,0,1,30,0,0,0,0,0,0,73,0,0,0,4,77,,,02,044
Johnson,02,044,02044,02-044-0550-02-2001,Vienna Elem School Dist 55,422,0,0,0,0,421,0,0,1,0,422,421,0,0,1,0,422,420,0,0,2,0,422,420,0,0,2,0,422,420,0,0,2,0,422,220,0,1,0,0,221,40,0,0,0,0,40,421,0,0,1,0,422,,,02,044
Johnson,02,044,02044,02-044-1330-17-0001,Vienna High School,331,0,0,0,0,329,0,0,2,0,331,329,0,0,2,0,331,329,0,0,2,0,331,329,0,0,2,0,331,329,0,0,2,0,331,329,0,0,2,0,331,0,0,0,0,0,0,86,0,0,1,0,87,,,02,044
Masaac,02,061,02061,02-061-0010-26-0001,Massac County High School,615,15,15,0,15,592,0,0,3,20,615,577,15,0,3,20,615,592,0,0,3,20,615,592,0,0,3,20,615,592,0,0,3,20,615,592,0,0,3,20,615,0,0,0,0,0,0,181,0,0,1,20,202,,,02,061
Masaac,02,061,02061,02-061-0010-26-1001,Massac Jr High School,288,0,0,0,0,287,0,0,1,0,288,287,0,0,1,0,288,287,0,0,1,0,288,287,0,0,1,0,288,287,0,0,1,0,288,287,0,0,1,0,288,0,0,0,0,0,0,287,0,0,1,0,288,,,02,061
Masaac,02,061,02061,02-061-0010-26-2001,Jefferson Elem School,165,0,0,0,0,161,0,0,3,1,165,161,0,0,3,1,165,161,0,0,3,1,165,161,0,0,3,1,165,161,0,0,3,1,165,61,0,0,0,0,61,0,0,0,0,0,0,161,0,0,3,1,165,,,02,061
Masaac,02,061,02061,02-061-0010-26-2002,Franklin Elem School,197,2,1,1,0,196,1,0,0,0,197,196,1,0,0,0,197,196,1,0,0,0,197,196,1,0,0,0,197,196,1,0,0,0,197,58,0,0,0,0,58,0,0,0,0,0,0,196,1,0,0,0,197,,,02,061
Masaac,02,061,02061,02-061-0010-26-2003,Metropolis Elem School,529,19,17,2,19,496,17,2,5,9,529,496,17,2,5,9,529,496,17,2,5,9,529,496,17,2,5,9,529,496,17,2,5,9,529,157,0,0,2,0,159,0,0,0,0,0,0,496,17,2,5,9,529,,,02,061
Masaac,02,061,02061,02-061-0010-26-2006,Unity Elem School,156,6,0,6,0,154,0,0,1,1,156,154,0,0,1,1,156,154,0,0,1,1,156,154,0,0,1,1,156,154,0,0,1,1,156,36,0,0,0,0,36,0,0,0,0,0,0,155,0,0,1,0,156,,,02,061
Masaac,02,061,02061,02-061-0010-26-2010,Brookport Elementary School,179,3,2,1,0,176,2,0,1,0,179,176,2,0,1,0,179,176,2,0,1,0,179,176,2,0,1,0,179,176,2,0,1,0,179,45,0,0,0,0,45,0,0,0,0,0,0,176,2,0,1,0,179,,,02,061
Masaac,02,061,02061,02-061-0380-26-0001,Joppa Jr & Sr High School,106,1,0,1,0,105,0,0,0,1,106,105,0,0,0,1,106,105,0,0,0,1,106,105,0,0,0,1,106,105,0,0,0,1,106,105,0,0,0,1,106,0,0,0,0,0,0,55,0,0,0,1,56,,,02,061
Masaac,02,061,02061,02-061-0380-26-2001,Maple Grove Elem School,174,0,0,0,0,171,0,0,3,0,174,171,0,0,3,0,174,171,0,0,3,0,174,171,0,0,3,0,174,171,0,0,3,0,174,68,0,0,0,0,68,22,0,0,0,0,22,171,0,0,3,0,174,,,02,061
Pulaski,02,077,02077,02-077-001Z-14-0000,Living Hope Flwshp Christian Sch,16,0,0,0,0,12,0,0,4,0,16,12,0,0,4,0,16,12,0,0,4,0,16,12,0,0,4,0,16,12,0,0,4,0,16,5,0,0,3,0,8,0,0,0,1,0,1,11,0,0,4,0,15,,,02,077
Pulaski,02,077,02077,02-077-1000-26-0001,Century Jr/Sr High School,182,1,1,0,0,169,0,0,13,0,182,168,1,0,13,0,182,169,0,0,13,0,182,169,0,0,13,0,182,169,0,0,13,0,182,169,0,0,13,0,182,0,0,0,0,0,0,94,0,0,10,0,104,,,02,077
Pulaski,02,077,02077,02-077-1000-26-2004,Century Elementary School,239,6,0,6,4,218,0,0,19,2,239,218,0,0,19,2,239,218,0,0,19,2,239,218,0,0,19,2,239,218,0,0,19,2,239,70,0,0,2,0,72,0,0,0,0,0,0,220,0,0,19,0,239,,,02,077
Pulaski,02,077,02077,02-077-1010-26-0001,Meridian High School,155,0,0,0,0,155,0,0,0,0,155,155,0,0,0,0,155,154,0,1,0,0,155,155,0,0,0,0,155,155,0,0,0,0,155,155,0,0,0,0,155,0,0,0,0,0,0,58,0,0,0,0,58,,,02,077
Pulaski,02,077,02077,02-077-1010-26-2005,Meridian Elementary School,463,0,0,0,0,460,0,0,3,0,463,460,0,0,3,0,463,460,0,0,3,0,463,460,0,0,3,0,463,460,0,0,3,0,463,212,0,0,1,0,213,41,0,0,0,0,41,460,0,0,3,0,463,,,02,077
Union,02,091,02091,02-091-0170-22-0001,Cobden High School,133,6,2,4,0,131,2,0,0,0,133,131,1,1,0,0,133,131,2,0,0,0,133,131,2,0,0,0,133,131,2,0,0,0,133,131,2,0,0,0,133,0,0,0,0,0,0,38,1,0,0,0,39,,,02,091
Union,02,091,02091,02-091-0170-22-1001,Cobden Jr High School,92,3,2,1,1,90,2,0,0,0,92,90,2,0,0,0,92,90,2,0,0,0,92,90,2,0,0,0,92,90,2,0,0,0,92,90,2,0,0,0,92,0,0,0,0,0,0,90,2,0,0,0,92,,,02,091
Union,02,091,02091,02-091-0170-22-2002,Cobden Elem School,355,9,3,6,6,352,1,0,0,2,355,352,1,0,0,2,355,350,3,0,0,2,355,350,3,0,0,2,355,350,3,0,0,2,355,123,0,0,0,0,123,43,0,0,0,0,43,350,3,0,0,2,355,,,02,091
Union,02,091,02091,02-091-0370-04-1001,Anna Junior High School,312,8,0,8,8,311,0,1,0,0,312,311,0,1,0,0,312,310,0,1,1,0,312,310,0,1,1,0,312,310,0,1,1,0,312,312,0,0,0,0,312,0,0,0,0,0,0,311,0,1,0,0,312,,,02,091
Union,02,091,02091,02-091-0370-04-2002,Davie Elem School,136,0,0,0,0,136,0,0,0,0,136,136,0,0,0,0,136,136,0,0,0,0,136,136,0,0,0,0,136,136,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,136,,,02,091
Union,02,091,02091,02-091-0370-04-2003,Lincoln Elem School,302,6,5,1,6,297,4,0,1,0,302,296,4,0,1,1,302,296,5,0,1,0,302,296,5,0,1,0,302,296,5,0,1,0,302,33,0,0,0,0,33,33,0,0,0,0,33,300,0,0,1,1,302,,,02,091
Union,02,091,02091,02-091-0430-04-2001,Jonesboro Elem School,433,0,0,0,0,429,0,0,0,4,433,429,0,0,0,4,433,429,0,0,0,4,433,429,0,0,0,4,433,429,0,0,0,4,433,208,0,0,0,7,215,43,0,0,0,0,43,429,0,0,0,4,433,,,02,091
Union,02,091,02091,02-091-0660-22-0001,Dongola High School,73,0,0,0,0,73,0,0,0,0,73,73,0,0,0,0,73,73,0,0,0,0,73,73,0,0,0,0,73,73,0,0,0,0,73,73,0,0,0,0,73,0,0,0,0,0,0,17,0,0,0,0,17,,,02,091
Union,02,091,02091,02-091-0660-22-1001,Dongola Jr High School,47,0,0,0,0,47,0,0,0,0,47,47,0,0,0,0,47,47,0,0,0,0,47,47,0,0,0,0,47,47,0,0,0,0,47,47,0,0,0,0,47,0,0,0,0,0,0,47,0,0,0,0,47,,,02,091
Union,02,091,02091,02-091-0660-22-2001,Dongola Elementary School,143,0,0,0,0,143,0,0,0,0,143,143,0,0,0,0,143,143,0,0,0,0,143,143,0,0,0,0,143,143,0,0,0,0,143,32,0,0,0,0,32,0,0,0,0,0,0,143,0,0,0,0,143,,,02,091
Union,02,091,02091,02-091-0810-16-0001,Anna-Jonesboro High School,527,49,47,2,0,504,21,0,2,0,527,508,17,0,2,0,527,512,13,0,2,0,527,512,13,0,2,0,527,512,13,0,2,0,527,513,12,0,2,0,527,0,0,0,0,0,0,116,17,0,1,0,134,,,02,091
Union,02,091,02091,02-091-0840-26-0001,Shawnee High School,135,0,0,0,0,134,0,0,0,1,135,135,0,0,0,0,135,135,0,0,0,0,135,135,0,0,0,0,135,135,0,0,0,0,135,135,0,0,0,0,135,0,0,0,0,0,0,28,0,0,0,0,28,,,02,091
Union,02,091,02091,02-091-0840-26-1002,Shawnee Jr High School,140,0,0,0,0,140,0,0,0,0,140,140,0,0,0,0,140,140,0,0,0,0,140,140,0,0,0,0,140,140,0,0,0,0,140,140,0,0,0,0,140,0,0,0,0,0,0,140,0,0,0,0,140,,,02,091
Union,02,091,02091,02-091-0840-26-2004,Shawnee Elem School - North,65,0,0,0,0,65,0,0,0,0,65,65,0,0,0,0,65,65,0,0,0,0,65,65,0,0,0,0,65,65,0,0,0,0,65,1,0,0,0,0,1,1,0,0,0,0,1,65,0,0,0,0,65,,,02,091
Union,02,091,02091,02-091-0840-26-2005,Shawnee Elem School - South,75,0,0,0,0,75,0,0,0,0,75,75,0,0,0,0,75,75,0,0,0,0,75,75,0,0,0,0,75,75,0,0,0,0,75,2,0,0,0,0,2,2,0,0,0,0,2,75,0,0,0,0,75,,,02,091
Bond,03,003,03003,03-003-0010-26-0001,Mulberry Grove Sr High School,142,0,0,0,0,140,0,0,2,0,142,139,0,0,2,1,142,140,0,0,2,0,142,140,0,0,2,0,142,140,0,0,2,0,142,140,0,0,2,0,142,0,0,0,0,0,0,35,0,0,1,0,36,,,03,003
