County_Name,Region,County,region_county_code,R-C-D-T-S,Facility,Enrollment,Total NC,UndupNCIM,NCPE,Excluded,PolioProtected,PolioNcNp,PolioMedObj,PolioRelObj,PolioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,TdapProt,TdapNcNp,TdapMedObj,TdapRelObj,TdapApprSchd,TdapTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal,Region,County
Alexander,02,002,02002,02-002-0050-26-0001,Egyptian Sr High School,128,0,0,0,0,127,0,0,1,0,128,127,0,0,1,0,128,32,0,0,1,0,33,127,0,0,1,0,128,127,0,0,1,0,128,127,0,0,1,0,128,127,0,0,1,0,128,0,0,0,0,0,0,63,0,0,1,0,64,02,002
Alexander,02,002,02002,02-002-0050-26-1001,Egyptian Jr High School,121,1,0,1,0,121,0,0,0,0,121,121,0,0,0,0,121,40,0,0,0,0,40,121,0,0,0,0,121,121,0,0,0,0,121,121,0,0,0,0,121,121,0,0,0,0,121,0,0,0,0,0,0,121,0,0,0,0,121,02,002
Alexander,02,002,02002,02-002-0050-26-2002,Egyptian Elem School,317,10,3,7,1,313,3,0,1,0,317,313,3,0,1,0,317,0,0,0,0,0,0,313,3,0,1,0,317,313,3,0,1,0,317,313,3,0,1,0,317,99,2,0,0,0,101,56,0,0,0,0,56,313,3,0,1,0,317,02,002
Johnson,02,044,02044,02-044-0010-26-0001,Goreville High School,182,0,0,0,0,182,0,0,0,0,182,182,0,0,0,0,182,42,0,0,0,0,42,182,0,0,0,0,182,182,0,0,0,0,182,182,0,0,0,0,182,182,0,0,0,0,182,0,0,0,0,0,0,83,0,0,0,0,83,02,044
Johnson,02,044,02044,02-044-0010-26-2001,Goreville Elementary School,442,2,1,1,1,441,1,0,0,0,442,441,1,0,0,0,442,43,1,0,0,0,44,441,1,0,0,0,442,441,1,0,0,0,442,441,1,0,0,0,442,243,1,0,0,0,244,55,0,0,0,0,55,441,1,0,0,0,442,02,044
Johnson,02,044,02044,02-044-0320-03-2003,New Simpson Hill Dist 32,261,0,0,0,0,261,0,0,0,0,261,261,0,0,0,0,261,32,0,0,0,0,32,261,0,0,0,0,261,261,0,0,0,0,261,261,0,0,0,0,261,136,0,0,0,0,136,35,0,0,0,0,35,261,0,0,0,0,261,02,044
Johnson,02,044,02044,02-044-0430-03-2001,Buncombe Cons School,69,0,0,0,0,69,0,0,0,0,69,69,0,0,0,0,69,5,0,0,0,0,5,69,0,0,0,0,69,69,0,0,0,0,69,69,0,0,0,0,69,28,0,0,0,0,28,0,0,0,0,0,0,69,0,0,0,0,69,02,044
Johnson,02,044,02044,02-044-0550-02-2001,Vienna Elem School Dist 55,427,0,0,0,0,426,0,0,1,0,427,425,0,1,1,0,427,40,0,0,0,0,40,424,0,2,1,0,427,424,0,2,1,0,427,424,0,2,1,0,427,211,0,0,0,1,212,39,0,0,0,0,39,425,0,2,0,0,427,02,044
Johnson,02,044,02044,02-044-0640-02-2001,Cypress Elem School,137,2,0,2,0,137,0,0,0,0,137,137,0,0,0,0,137,14,0,0,0,2,16,137,0,0,0,0,137,137,0,0,0,0,137,137,0,0,0,0,137,74,0,0,0,0,74,20,0,0,0,0,20,137,0,0,0,0,137,02,044
Johnson,02,044,02044,02-044-1330-17-0001,Vienna High School,330,0,0,0,0,327,0,0,3,0,330,327,0,0,3,0,330,81,0,0,2,0,83,327,0,0,3,0,330,327,0,0,3,0,330,327,0,0,3,0,330,327,0,0,3,0,330,0,0,0,0,0,0,168,0,0,3,0,171,02,044
Masaac,02,061,02061,02-061-0010-26-0001,Massac County High School,655,9,7,2,0,651,0,2,2,0,655,649,0,0,2,4,655,156,6,0,1,13,176,653,0,0,2,0,655,653,0,0,2,0,655,653,0,0,2,0,655,653,0,0,2,0,655,0,0,0,0,0,0,343,2,0,2,3,350,02,061
Masaac,02,061,02061,02-061-0010-26-1001,Massac Jr High School,297,0,0,0,0,297,0,0,0,0,297,296,0,0,0,1,297,0,0,0,0,0,0,297,0,0,0,0,297,297,0,0,0,0,297,297,0,0,0,0,297,297,0,0,0,0,297,0,0,0,0,0,0,295,0,0,0,2,297,02,061
Masaac,02,061,02061,02-061-0010-26-2001,Jefferson Elem School,180,0,0,0,0,178,0,0,0,2,180,178,0,0,0,2,180,7,0,0,0,1,8,180,0,0,0,0,180,180,0,0,0,0,180,180,0,0,0,0,180,69,0,0,0,0,69,0,0,0,0,0,0,180,0,0,0,0,180,02,061
Masaac,02,061,02061,02-061-0010-26-2002,Franklin Elem School,194,0,0,0,0,193,0,0,0,1,194,192,0,0,0,2,194,29,0,0,0,1,30,194,0,0,0,0,194,194,0,0,0,0,194,194,0,0,0,0,194,60,0,0,0,0,60,0,0,0,0,0,0,194,0,0,0,0,194,02,061
Masaac,02,061,02061,02-061-0010-26-2003,Metropolis Elem School,555,3,1,2,1,549,1,0,1,4,555,549,1,0,1,4,555,76,0,0,0,1,77,549,1,0,1,4,555,549,1,0,1,4,555,549,1,0,1,4,555,162,0,0,0,0,162,4,0,0,0,0,4,554,0,0,1,0,555,02,061
