County_Name,Region,County,region_county_code,Region-County-District-Type-School (RCDTS) ,District,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,region_county_code
Winnebago,04,101,04101,041013230262003,Winnebago CUSD 323,Dorothy Simon Elem School,329,0,0,0,1,35,0,0,0,0,0,35,0,1,04101
Cook_North,05,016,05016,05016008Z010000,Nonpublic School,North Shore Country Day School,535,0,1,0,0.9981308411214954,16,0,0,1,0,0,16,1,0.9411764705882353,05016
Cook_North,05,016,05016,050160150042003,Palatine CCSD 15,Central Road Elem School,611,3,0,2,0.9950900163666121,38,0,0,0,0,1,38,1,0.9743589743589743,05016
Cook_North,05,016,05016,050160150042005,Palatine CCSD 15,Kimball Hill Elem School,622,13,6,19,0.9694533762057879,38,0,0,0,0,2,38,2,0.95,05016
Cook_North,05,016,05016,050160150042006,Palatine CCSD 15,Hunting Ridge Elem School,661,9,0,9,0.9863842662632375,75,1,0,0,0,0,75,1,0.9868421052631579,05016
Cook_North,05,016,05016,050160150042010,Palatine CCSD 15,Pleasant Hill Elem School,635,7,1,0,0.9874015748031496,60,0,0,0,0,6,60,6,0.9090909090909091,05016
Cook_North,05,016,05016,050160150042013,Palatine CCSD 15,Gray M Sanborn Elem School,629,14,5,7,0.9697933227344993,40,0,0,0,0,1,40,1,0.975609756097561,05016
Cook_North,05,016,05016,050160150042020,Palatine CCSD 15,Thomas Jefferson Elem School,545,1,0,0,0.998165137614679,62,0,0,0,0,0,62,0,1,05016
Cook_North,05,016,05016,050160150042023,Palatine CCSD 15,Frank C Whiteley Elem School,597,7,0,0,0.9882747068676717,18,0,0,0,0,7,18,7,0.72,05016
Cook_North,05,016,05016,050160150043001,Palatine CCSD 15,John G Conyers Learning Academy,299,6,0,6,0.979933110367893,268,0,0,0,0,6,268,6,0.9781021897810219,05016
Cook_North,05,016,05016,050160210043001,Wheeling CCSD 21,Nathaniel Hawthorne Early Childhood Sch,542,0,0,0,1,541,0,0,1,0,0,541,1,0.9981549815498155,05016
Cook_North,05,016,05016,050160230022001,Prospect Heights SD 23,Dwight D Eisenhower Elem School,389,0,0,0,1,57,0,0,0,0,0,57,0,1,05016
Cook_North,05,016,05016,050160250022004,Arlington Heights SD 25,Greenbrier Elem School,383,0,0,0,1,135,3,0,0,0,0,135,3,0.9782608695652174,05016
Cook_North,05,016,05016,050160260022001,River Trails SD 26,Euclid Elem School,472,0,0,0,1,25,0,0,0,0,0,25,0,1,05016
Cook_North,05,016,05016,050160260022003,River Trails SD 26,Indian Grove Elem School,465,0,1,0,0.9978494623655914,38,0,0,1,0,0,38,1,0.9743589743589743,05016
Cook_North,05,016,05016,050160280022002,Northbrook SD 28,Greenbriar Elem School,390,0,0,0,1,1,0,0,0,0,0,1,0,1,05016
Cook_North,05,016,05016,050160280022003,Northbrook SD 28,Meadowbrook Elem School,395,1,0,0,0.9974683544303798,34,1,0,0,0,0,34,1,0.9714285714285714,05016
Cook_North,05,016,05016,050160290022001,Sunset Ridge SD 29,Middlefork Primary School,202,3,0,0,0.9851485148514851,2,0,0,0,0,0,2,0,1,05016
Cook_North,05,016,05016,050160300022002,Northbrook/Glenview SD 30,Willowbrook Elem School,336,0,0,0,1,22,0,0,0,0,0,22,0,1,05016
Cook_North,05,016,05016,050160310022002,West Northfield SD 31,Henry Winkelman Elem School,594,8,1,5,0.9848484848484849,31,0,0,1,0,3,31,4,0.8857142857142857,05016
Cook_North,05,016,05016,050160340042002,Glenview CCSD 34,Henking Elem School,482,1,0,0,0.9979253112033195,18,0,0,0,0,0,18,0,1,05016
Cook_North,05,016,05016,050160340042004,Glenview CCSD 34,Lyon Elem School,469,5,0,0,0.9893390191897655,20,0,0,0,0,0,20,0,1,05016
Cook_North,05,016,05016,050160340042008,Glenview CCSD 34,Westbrook Elementary School,520,2,0,0,0.9961538461538462,76,1,0,0,0,1,76,2,0.9743589743589743,05016
Cook_North,05,016,05016,050160360022002,Winnetka SD 36,Greeley Elem School,270,0,0,0,1,1,0,0,0,0,0,1,0,1,05016
Cook_North,05,016,05016,050160360022003,Winnetka SD 36,Hubbard Woods Elem School,249,0,0,0,1,2,0,0,0,0,0,2,0,1,05016
Cook_North,05,016,05016,050160370021001,Avoca SD 37,Marie Murphy School,280,2,1,2,0.9892857142857143,22,1,0,0,0,0,22,1,0.9565217391304348,05016
