County_Name,Region,County,region_county_code,R-C-D-T-S,Facility,Enrollment,TotalNC,unduplCount,NCPE,Excluded,polioProtected,polioNcNp,polioMedObj,PolioRelObj,polioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal,Region,County
St. Clair,50,082,50082,50-082-025P-00-3101,Learning Journey,69.0,7,0,7,0,62,0,0,0,7,69,63,0,0,0,6,69,59,0,0,0,10,69,59,0,0,0,10,69,59,0,0,0,10,69,61,0,0,0,8,69,62,0,0,0,7,69,58,0,0,0,11,69,50,082
St. Clair,50,082,50082,50-082-052P-00-3101,Dee Dees Learning Academy,20.0,0,0,0,0,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,50,082
St. Clair,50,082,50082,50-082-066P-00-3101,Discovery School,143.0,0,0,0,0,141,0,0,1,1,143,141,0,0,1,1,143,141,0,0,1,1,143,141,0,0,1,1,143,141,0,0,1,1,143,141,0,0,1,1,143,139,0,2,1,1,143,141,0,0,1,1,143,50,082
St. Clair,50,082,50082,50-082-083P-00-3101,ABC & 123 Academy,22.0,0,0,0,0,22,0,0,0,0,22,22,0,0,0,0,22,22,0,0,0,0,22,22,0,0,0,0,22,22,0,0,0,0,22,22,0,0,0,0,22,22,0,0,0,0,22,22,0,0,0,0,22,50,082
St. Clair,50,082,50082,50-082-088P-00-3101,Smart Start Learning Center,37.0,0,0,0,0,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,50,082
St. Clair,50,082,50082,50-082-093P-00-3101,Michelles Place,38.0,0,0,0,0,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,50,082
St. Clair,50,082,50082,50-082-104P-00-3101,The Early Years,40.0,0,0,0,0,38,0,0,0,2,40,39,0,0,0,1,40,38,0,0,0,2,40,38,0,0,0,2,40,38,0,0,0,2,40,38,0,0,0,2,40,38,0,0,0,2,40,37,0,0,0,3,40,50,082
Sangamon,51,084,51084,51-084-069P-00-3101,Care O Sel Child Care,37.0,0,0,0,0,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,51,084
Tazewell,53,090,53090,53-090-063P-00-3101,Rogys New Generation,20.0,0,0,0,0,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,53,090
Tazewell,53,090,53090,53-090-063P-00-3102,Rogys Gingerbread House,40.0,0,0,0,0,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,53,090
Tazewell,53,090,53090,53-090-063P-00-3103,Rogys Gingerbread House,34.0,0,0,0,0,34,0,0,0,0,34,34,0,0,0,0,34,34,0,0,0,0,34,34,0,0,0,0,34,34,0,0,0,0,34,34,0,0,0,0,34,34,0,0,0,0,34,34,0,0,0,0,34,53,090
Tazewell,53,090,53090,53-090-063P-00-3104,Rogys Gingerbread House,16.0,0,0,0,0,16,0,0,0,0,16,16,0,0,0,0,16,16,0,0,0,0,16,16,0,0,0,0,16,16,0,0,0,0,16,16,0,0,0,0,16,16,0,0,0,0,16,16,0,0,0,0,16,53,090
Tazewell,53,090,53090,53-090-063P-00-3105,S Side Catholic Child Care Ctr,28.0,0,0,0,0,28,0,0,0,0,28,28,0,0,0,0,28,28,0,0,0,0,28,28,0,0,0,0,28,28,0,0,0,0,28,28,0,0,0,0,28,28,0,0,0,0,28,28,0,0,0,0,28,53,090
Will,56,099,56099,56-099-049P-00-3101,Good Shepherd Head Start Ctr,19.0,0,0,0,0,19,0,0,0,0,19,19,0,0,0,0,19,19,0,0,0,0,19,19,0,0,0,0,19,19,0,0,0,0,19,19,0,0,0,0,19,19,0,0,0,0,19,19,0,0,0,0,19,56,099
Will,56,099,56099,56-099-049P-00-3102,Broadway Early Childhood Ctr,50.0,0,0,0,0,50,0,0,0,0,50,50,0,0,0,0,50,50,0,0,0,0,50,50,0,0,0,0,50,50,0,0,0,0,50,50,0,0,0,0,50,48,0,2,0,0,50,50,0,0,0,0,50,56,099
Will,56,099,56099,56-099-060P-00-3101,Godley Park District,20.0,0,0,0,0,19,0,0,1,0,20,19,0,0,1,0,20,19,0,0,1,0,20,19,0,0,1,0,20,19,0,0,1,0,20,19,0,0,1,0,20,19,0,0,1,0,20,19,0,0,1,0,20,56,099
Will,56,099,56099,56-099-073P-00-3104,YWCA Child Care Center,20.0,0,0,0,0,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,56,099
Will,56,099,56099,56-099-073P-00-3105,Play Palz 101 Inc,20.0,1,0,1,0,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,56,099
Will,56,099,56099,56-099-073P-00-3106,Theres Fun in Learning,20.0,2,0,2,0,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,56,099
Will,56,099,56099,56-099-073P-00-3107,Harvey Brooks Foundation,17.0,1,0,1,0,17,0,0,0,0,17,17,0,0,0,0,17,17,0,0,0,0,17,17,0,0,0,0,17,17,0,0,0,0,17,17,0,0,0,0,17,17,0,0,0,0,17,17,0,0,0,0,17,56,099
Will,56,099,56099,56-099-5270-51-3101,Govenors State Univ Fam Ctr,79.0,12,12,0,0,75,2,1,1,0,79,76,1,1,1,0,79,75,2,1,1,0,79,75,2,1,1,0,79,75,2,1,1,0,79,77,0,1,1,0,79,74,3,1,1,0,79,74,3,1,1,0,79,56,099
Other State Funded Public Schools,65,108,65108,65-108-9700-51-3101,LaPetite Academy 7004,37.0,0,0,0,0,33,0,0,0,4,37,33,0,0,0,4,37,32,0,0,0,5,37,32,0,0,0,5,37,32,0,0,0,5,37,31,0,0,0,6,37,34,0,0,0,3,37,33,0,0,0,4,37,65,108
Other State Funded Public Schools,65,108,65108,65-108-9700-51-3102,LaPetite Academy 7013,15.0,1,1,0,0,14,1,0,0,0,15,14,1,0,0,0,15,14,1,0,0,0,15,14,1,0,0,0,15,14,1,0,0,0,15,14,1,0,0,0,15,14,1,0,0,0,15,14,1,0,0,0,15,65,108
Adams,01,001,01001,01-001-005X-10-0000,St Dominic School,157.0,0,0,0,0,157,0,0,0,0,157,157,0,0,0,0,157,156,0,1,0,0,157,156,0,1,0,0,157,156,0,1,0,0,157,97,0,0,0,0,97,34,0,0,0,0,34,157,0,0,0,0,157,01,001
Adams,01,001,01001,01-001-006X-10-0000,St Francis Solanus,300.0,0,0,0,0,300,0,0,0,0,300,300,0,0,0,0,300,300,0,0,0,0,300,300,0,0,0,0,300,300,0,0,0,0,300,159,0,0,0,0,159,54,0,0,0,0,54,300,0,0,0,0,300,01,001
Adams,01,001,01001,01-001-009X-10-0000,St Peter School,394.0,0,0,0,0,393,0,1,0,0,394,393,0,1,0,0,394,385,0,9,0,0,394,385,0,9,0,0,394,385,0,9,0,0,394,193,0,0,0,1,194,29,0,0,0,0,29,390,0,4,0,0,394,01,001
